ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,PRECTOTCORR,CLRSKY_SFC_SW_DWN,date,city,state,lat,lon
2.0822,-6.26,-5.31,-7.37,91.79,6.73,1.43,2.6342,2010-01-01,Chicago,IL,41.88,-87.63
2.1737,-8.74,-6.59,-10.28,97.49,6.86,0.81,2.7377,2010-01-02,Chicago,IL,41.88,-87.63
1.8984,-6.2,-5.26,-7.53,94.84,6.84,0.07,2.7062,2010-01-03,Chicago,IL,41.88,-87.63
1.5058,-5.31,-3.78,-6.43,94.94,7.23,0.87,2.6573,2010-01-04,Chicago,IL,41.88,-87.63
1.6126,-4.11,-3.61,-5,90.02,6.17,0.1,2.6359,2010-01-05,Chicago,IL,41.88,-87.63
2.0726,-4.69,-3.27,-5.74,90.76,3.77,0.27,2.7091,2010-01-06,Chicago,IL,41.88,-87.63
0.6485,-5.08,-2.08,-6.02,92.65,3.06,8.89,2.6052,2010-01-07,Chicago,IL,41.88,-87.63
1.6334,-2.55,-0.8,-4.54,85.35,7.03,1.18,2.6554,2010-01-08,Chicago,IL,41.88,-87.63
1.8511,-4.78,-3.41,-7.6,86.89,4.97,0,2.7874,2010-01-09,Chicago,IL,41.88,-87.63
2.1077,-8.66,-5.6,-12.4,99.18,7.69,0,2.8001,2010-01-10,Chicago,IL,41.88,-87.63
1.6128,-3.12,-0.39,-6,91.22,6.8,0.41,2.6623,2010-01-11,Chicago,IL,41.88,-87.63
0.6377,-1.42,0.23,-3.88,84.96,4.6,0.06,2.7343,2010-01-12,Chicago,IL,41.88,-87.63
2.1216,-1.12,2.04,-4.13,93.91,7.94,0.12,2.6942,2010-01-13,Chicago,IL,41.88,-87.63
1.1698,2.02,3,0.09,93.02,6.19,0.01,2.5207,2010-01-14,Chicago,IL,41.88,-87.63
0.9336,-0.08,1.34,-1.29,85.37,2.55,0,2.6988,2010-01-15,Chicago,IL,41.88,-87.63
1.069,-2.19,0.11,-4,91.79,3.28,0,2.681,2010-01-16,Chicago,IL,41.88,-87.63
1.6759,-1.7,1.04,-3.69,89.89,2.62,0,2.7468,2010-01-17,Chicago,IL,41.88,-87.63
0.9245,-1.69,-0.12,-3,93.05,3.35,0,2.5867,2010-01-18,Chicago,IL,41.88,-87.63
2.1391,-0.35,1.58,-2.4,77.61,2.17,0,2.8507,2010-01-19,Chicago,IL,41.88,-87.63
0.8088,-0.16,0.56,-0.73,80.62,7.05,0.38,2.6938,2010-01-20,Chicago,IL,41.88,-87.63
0.8047,0.9,2.47,-0.59,82.49,8,1.69,2.7074,2010-01-21,Chicago,IL,41.88,-87.63
1.0642,1.62,2.06,1.32,90.99,4.64,0.08,2.7859,2010-01-22,Chicago,IL,41.88,-87.63
0.8078,3.14,4.77,1.58,96.19,6.32,0.91,2.4439,2010-01-23,Chicago,IL,41.88,-87.63
0.7973,3.42,6.13,-0.91,93.81,7.3,8.02,2.8392,2010-01-24,Chicago,IL,41.88,-87.63
1.1198,-0.85,1.13,-4.53,82.63,7.72,0.44,2.9921,2010-01-25,Chicago,IL,41.88,-87.63
1.349,-4.56,-2.47,-7.69,86.72,8.15,0.19,3.173,2010-01-26,Chicago,IL,41.88,-87.63
