ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,PRECTOTCORR,CLRSKY_SFC_SW_DWN,date,city,state,lat,lon
3.5258,10.21,20.72,2.95,32.12,2.62,0,3.6948,2010-01-01,Phoenix,AZ,33.45,-112.07
3.6518,12.57,21.45,6.71,37.63,1.53,0.01,3.6732,2010-01-02,Phoenix,AZ,33.45,-112.07
3.6874,11.21,21.75,4.6,39.58,2.58,0,3.7246,2010-01-03,Phoenix,AZ,33.45,-112.07
3.4255,12.13,21.84,5.19,34.43,2.99,0,3.7164,2010-01-04,Phoenix,AZ,33.45,-112.07
3.7282,13.04,22.05,6.14,33.31,1.75,0,3.7442,2010-01-05,Phoenix,AZ,33.45,-112.07
3.4529,12.23,20.71,6.14,38.05,1.36,0,3.6806,2010-01-06,Phoenix,AZ,33.45,-112.07
3.1322,12.19,19.4,7.46,41.17,1.54,0,3.6415,2010-01-07,Phoenix,AZ,33.45,-112.07
3.4049,11.56,20.75,5.55,37.03,2.32,0,3.7229,2010-01-08,Phoenix,AZ,33.45,-112.07
3.5921,10.9,20.61,3.93,29.52,1.88,0,3.7546,2010-01-09,Phoenix,AZ,33.45,-112.07
2.495,10.53,18.25,5.02,29.81,2.02,0,3.6874,2010-01-10,Phoenix,AZ,33.45,-112.07
3.7646,11.97,22.05,4.94,31.56,2.04,0,3.7786,2010-01-11,Phoenix,AZ,33.45,-112.07
3.684,13.39,22.38,6.65,30.44,2.41,0,3.7954,2010-01-12,Phoenix,AZ,33.45,-112.07
3.0451,13.07,20.57,9.33,35.38,1.88,0.4,3.7846,2010-01-13,Phoenix,AZ,33.45,-112.07
3.7639,11.73,20.12,5.74,48.1,1.91,0.46,3.774,2010-01-14,Phoenix,AZ,33.45,-112.07
3.8974,12.41,21.97,5.72,40.51,2.18,0.07,3.9458,2010-01-15,Phoenix,AZ,33.45,-112.07
2.333,12.31,17.76,7.85,35.56,1.67,0,3.8587,2010-01-16,Phoenix,AZ,33.45,-112.07
3.2585,11.15,18.32,4.89,39.2,1.38,0.02,3.8928,2010-01-17,Phoenix,AZ,33.45,-112.07
1.2391,9.49,11.74,7.67,62,2.43,2.72,3.703,2010-01-18,Phoenix,AZ,33.45,-112.07
2.5159,11.76,16.35,8.07,77.45,3.12,25.18,3.817,2010-01-19,Phoenix,AZ,33.45,-112.07
3.8945,9.89,16,5.3,72.73,2.15,2.35,4.0567,2010-01-20,Phoenix,AZ,33.45,-112.07
0.5748,12.57,15.66,7.98,85.76,7.09,68.3,3.7831,2010-01-21,Phoenix,AZ,33.45,-112.07
2.9299,8.76,11.59,6.54,84.7,3.69,14.71,4.0685,2010-01-22,Phoenix,AZ,33.45,-112.07
3.3341,6.57,11.29,3.87,77.64,1.92,2.28,4.1191,2010-01-23,Phoenix,AZ,33.45,-112.07
4.1482,6.41,13.76,-0.14,54.25,1.3,0,4.2223,2010-01-24,Phoenix,AZ,33.45,-112.07
4.0867000000000004,6.94,15.62,-0.19,52.05,1.52,0,4.1844,2010-01-25,Phoenix,AZ,33.45,-112.07
3.9569,10.73,18.18,4.88,56.32,1.76,0,4.157,2010-01-26,Phoenix,AZ,33.45,-112.07
2.1394,11.79,17.41,8.33,64.29,1.62,1.96,4.0462,2010-01-27,Phoenix,AZ,33.45,-112.07
3.5465,9.89,15.41,6.39,80.2,1.38,3.59,4.0615,2010-01-28,Phoenix,AZ,33.45,-112.07
4.0831,10.17,16.82,4.22,73.13,1.23,0.15,4.2276,2010-01-29,Phoenix,AZ,33.45,-112.07
3.8155,10.97,17.93,6.14,59.18,1.94,0,4.3284,2010-01-30,Phoenix,AZ,33.45,-112.07
4.2998,11.39,18.5,5.36,59.31,1.6,0.02,4.4006,2010-01-31,Phoenix,AZ,33.45,-112.07
3.3566,11.74,18.05,5.81,57.52,1.11,0,4.3073,2010-02-01,Phoenix,AZ,33.45,-112.07
3.6233,12.94,19.74,7.87,57.19,1.85,0,4.259,2010-02-02,Phoenix,AZ,33.45,-112.07
3.7433,12.38,16.72,8.21,69.47,1.51,0.08,4.2943,2010-02-03,Phoenix,AZ,33.45,-112.07
4.05,11.07,17.54,4.14,67.44,1.26,0,4.4914,2010-02-04,Phoenix,AZ,33.45,-112.07
