ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,PRECTOTCORR,CLRSKY_SFC_SW_DWN,date,city,state,lat,lon
0.5508,8.14,9.31,7.59,93.92,1.44,14.9,1.6138,2010-01-01,Seattle,WA,47.61,-122.33
0.6878,5.86,7.62,3.01,97.01,1.01,3.44,1.6594,2010-01-02,Seattle,WA,47.61,-122.33
0.7214,4.65,6.04,2.82,94.33,0.44,0.88,1.6018,2010-01-03,Seattle,WA,47.61,-122.33
0.5561,6.2,7.86,4.4,95.92,0.51,23.68,1.609,2010-01-04,Seattle,WA,47.61,-122.33
0.624,7.64,8.68,5.4,98.86,0.36,4.78,1.5425,2010-01-05,Seattle,WA,47.61,-122.33
0.9696,3.92,6.13,0.83,76.2,0.71,0.56,1.5953,2010-01-06,Seattle,WA,47.61,-122.33
0.9763,2.93,6.06,-0.31,64.68,0.71,0.51,1.7354,2010-01-07,Seattle,WA,47.61,-122.33
0.3101,4.25,6.11,2.62,90.07,0.61,22.08,1.6555,2010-01-08,Seattle,WA,47.61,-122.33
1.0066,7.37,11.36,4.08,96.56,0.61,1.57,1.741,2010-01-09,Seattle,WA,47.61,-122.33
0.7762,6.7,11.28,3.5,87.56,0.61,1.69,1.7407,2010-01-10,Seattle,WA,47.61,-122.33
0.3358,9.24,10.9,7.87,87.11,0.95,13.64,1.7381,2010-01-11,Seattle,WA,47.61,-122.33
0.5762,8.73,10.73,7.68,93.96,0.81,14.31,1.7671,2010-01-12,Seattle,WA,47.61,-122.33
0.726,8.48,11.45,6.89,92.49,0.97,10.49,1.8386,2010-01-13,Seattle,WA,47.61,-122.33
0.2954,7.86,9.48,6.11,90.86,1.33,7.01,1.8514,2010-01-14,Seattle,WA,47.61,-122.33
0.4877,7.82,9.63,5.19,90.26,1.17,16.41,1.9078,2010-01-15,Seattle,WA,47.61,-122.33
1.0027,5.36,8.6,1.5,91.94,0.6,1.37,1.9778,2010-01-16,Seattle,WA,47.61,-122.33
0.8364,7.09,8.65,6.01,93.47,0.79,5.81,1.9445,2010-01-17,Seattle,WA,47.61,-122.33
1.4364,9.13,12.04,7.04,77.3,1.17,2.15,2.0172,2010-01-18,Seattle,WA,47.61,-122.33
0.4603,8.28,10.59,6.02,83.96,0.68,0.89,2.0556,2010-01-19,Seattle,WA,47.61,-122.33
1.5514,7.38,11.76,4.41,83.3,0.62,1.04,2.099,2010-01-20,Seattle,WA,47.61,-122.33
1.1566,6.87,12.23,3.33,80.45,0.63,0.08,2.1394,2010-01-21,Seattle,WA,47.61,-122.33
1.1844,5.68,10.52,2.44,89.92,0.57,0.09,2.0731,2010-01-22,Seattle,WA,47.61,-122.33
1.2247,5.42,9.23,2.22,94.69,0.68,0.68,2.2046,2010-01-23,Seattle,WA,47.61,-122.33
0.3557,4.25,6.47,1.93,91.47,0.85,11.26,2.1451,2010-01-24,Seattle,WA,47.61,-122.33
